ИНН;КПП;ID СКУП;МРФ;Cубъект РФ;Полное наименование учреждения;Адрес учреждения;ФИО директора;Контактный телефон;Электронная почта;;;;;
105032063;10501001;238418;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Школа № 10""";Республика Адыгея (Адыгея), Г. Майкоп, Ул. Курганная, 644;Жаркова Наталья Андреевна;8-962-764-49-13;school10_maykop@mail.ru;3;1;1;;
105032088;10501001;238419;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Школа № 11""";Республика Адыгея (Адыгея), Г. Майкоп, Ул. 12 Марта, 144 А;Дубовская Ольга Васильевна;8-909-470-55-31;maikop_sch_11@rambler.ru;3;1;1;;
105043682;10501001;197121;Юг;Республика Адыгея;"Муниципальное Казенное Общеобразовательное Учреждение ""Школа Для Детей С Ограниченными Возможностями Здоровья""";385002, Республика Адыгея, Город Майкоп, Улица 12 Марта, 65;Нестеренко Ирина Евгеньевна;8-928-668-92-51;skosh2006@rambler.ru;3;1;1;;
105033081;10501001;246057;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Школа № 13""";Республика Адыгея (Адыгея), Г. Майкоп, Ул. 8 Марта, 21;Неверова Марина Владимировна;8-918-229-48-62;maikop_school_13@mail.ru;3;1;1;;
105033420;10501001;257188;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Школа № 14""";Республика Адыгея (Адыгея), Г. Майкоп, П. Подгорный, Пер. Школьный, 12;Цишева Зулима Нурбиевна;8-960-487-74-43;schcola14@yandex.ru;3;1;1;;
105033324;10501001;197123;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Школа № 15""";385007, Адыгея Республика, Город Майкоп, Улица Курганная, 1;Биштова Зурет Нурбиевна;8-903-465-11-17;school15ra@mail.ru;3;1;1;;
105031863;10501001;197122;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Школа № 16""";385003, Республика Адыгея, Г Майкоп, Ул Кирова, 130;Шатилова Галина Анатольевна;8-961-818-94-66;ostrovv16@yandex.ru;3;1;1;;
105033282;10501001;238420;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Школа № 17 Социального Развития И Успеха""";Республика Адыгея (Адыгея), Г. Майкоп, Пер. 7-Й, 22;Леонова Оксана Викторовна;8-918-222-24-11;ra.school.17@ya.ru;3;1;1;;
105031920;10501001;197534;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Школа - Детский Сад № 18""";385077, Республика Адыгея, Г Майкоп, Х Гавердовский, Пер Клубный, 1;Гордиенко Наталья Вячеславовна;8-906-438-71-89;mbou.18@bk.ru;3;1;1;;
105032144;10501001;238413;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Лицей № 19""";Республика Адыгея (Адыгея), Г. Майкоп, Ул. Краснооктябрьская, 51;Кадырова Фатима Юрьевна;8-903-465-37-17;lichey19@mail.ru;3;1;1;;
105032070;10501001;238416;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Основная Школа № 24""";Республика Адыгея (Адыгея), Г. Майкоп, П. Родниковый, Ул. Ленина, 14;Гетманская Елена Григорьевна;8-918-222-29-24;msch-24@mail.ru;3;1;1;;
105032779;10501001;254294;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Основная Школа № 25""";Республика Адыгея (Адыгея), Г. Майкоп, Ст-Ца Ханская, Ул. Ленина, 36;Комарова Ирина Валерьевна;8-928-465-83-18;oosh25hanskaj@mail.ru;3;1;1;;
105032017;10501001;204813;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Начальная Школа № 26"" Ст-Ца Ханская Г. Майкоп";Республика Адыгея (Адыгея), Г. Майкоп, Ст-Ца Ханская, Ул. Интернациональная, 112;Княжина Ирина Николаевна;8-909-450-93-69;nosch-26@mail.ru;3;1;1;;
105033571;10501001;257190;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Основная Школа № 27""";Республика Адыгея (Адыгея), Г. Майкоп, П. Северный, Ул. Школьная, 1;Трипкош Юлия Васильевна;8-928-460-89-28;9184212184@mail.ru;3;1;1;;
105032909;10501001;257191;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Школа № 28""";Республика Адыгея (Адыгея), Г. Майкоп, Ул. Гайдара, 1 А;Долева Инна Михайловна;8-928-468-53-79;dvorec2006@yandex.ru;3;1;1;;
105033250;10501001;197535;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Лицей № 34""";385000, Россия, Адыгея Респ, Город Майкоп Г.О., Майкоп Г., 12 Марта Ул., Д. 164;Сихаджок Зарема Рамазановна;8-960-436-75-85;52-12-81@lsit.adygnet.ru;3;1;1;;
105037255;10501001;238414;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Эколого-Биологический Лицей № 35""";Республика Адыгея (Адыгея), Г. Майкоп, Ул. Пионерская, 532;Эйхвальд Анастасия Романовна;8-918-421-05-25;licey_35_maykop@mail.ru;3;1;1;;
101004146;10101001;238482;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Гиагинского Района ""Средняя Общеобразовательная Школа № 1 Имени А. Г. Сапрунова""";Республика Адыгея (Адыгея), Гиагинский Район, Ст-Ца Гиагинская, Ул. Ленина, 152;Воробьева Елена Владимировна;8(87779) 9–28–49  8(918) 424–90–91 ;giaginskschool_1@mail.ru;3;1;1;;
101004202;10101001;257192;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Гиагинского Района ""Средняя Общеобразовательная Школа № 2 Имени А.Асеева И Ю.Голикова""";Республика Адыгея (Адыгея), Гиагинский Район, Ст-Ца Гиагинская, Ул. Центральная, 38;Порецкая Ольга Николаевна;8(87779) 3-09-21 8-962-768-28-20;soh-2@mail.ru;3;1;1;;
101004192;10101001;152096;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Гиагинского Района ""Средняя Общеобразовательная Школа № 3""";385600, Республика Адыгея, Р-Н Гиагинский, Ст-Ца Гиагинская, Ул Боевая, 3;Хажмакова Саида Хаджемосовна;8(87779) 9-16-50 8-961-511-40-28;gsch-3@mail.ru;3;1;1;;
101004266;10101001;238484;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Гиагинского Района ""Средняя Общеобразовательная Школа № 4""";Республика Адыгея (Адыгея), Гиагинский Район, Ст-Ца Гиагинская, Ул. Красная, 170;Пугачев Дмитрий Филлипович;8(87779) 9-27-36 89618188978;giagsosh4@mail.ru;3;1;1;;
101004210;10101001;197124;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Гиагинского Района ""Средняя Общеобразовательная Школа № 5""";385634, Республика Адыгея, Р-Н Гиагинский, Х Прогресс, Ул Центральная, 2;Малева Наталья Ивановна;8(87779) 9-55-35 8-918-920-42-38;sosh_progress@mail.ru;3;1;1;;
101004160;10101001;204803;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 6"" П. Гончарка Гиагинского Района";Республика Адыгея (Адыгея), Гиагинский Район, П. Гончарка, Ул. Гиагинская, 1;Тютерева Галина Николаевна;8(87779) 9-63-67 8-918-327-63-11;gonmousoh-6@mail.ru;3;1;1;;
101004259;10101001;257193;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Гиагинского Района ""Средняя Общеобразовательная Школа № 7""";Республика Адыгея (Адыгея), Гиагинский Район, П. Новый, Ул. Школьная, 22;Нелинева Елена Ивановна;8(87779)9-41-90 8-961-818-24-28;novaischool_7@mail.ru;3;1;1;;
101003488;10101001;204804;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учереждение Гиагинского Района ""Средняя Общеобразовательная Школа № 8 Имени В.Солдатенко""";Республика Адыгея (Адыгея), Гиагинский Район, Ст-Ца Келермесская, Ул. Советская, 116;Усольцева Наталья Васильевна;8(87779) 9-53-81 8-952-988-96-69;soldatenko8soch@mail.ru;3;1;1;;
101004153;10101001;204817;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Гиагинского Района ""Средняя Общеобразовательная Школа № 9""";Республика Адыгея (Адыгея), Гиагинский Район, Ст-Ца Дондуковская, Ул. Гагарина, 148;Шаповалова Татьяна Борисовна;8(87779)9-32-92,  9-32-91 8-918-639-33-28;dond_sc_9soh@mail.ru;3;1;1;;
101004273;10101001;223881;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Гиагинского Района ""Средняя Общеобразовательная Школа № 10""";Республика Адыгея (Адыгея), Гиагинский Район, Ст-Ца Дондуковская, Ул. Ленина, 73;Слободчикова Наталья Ивановна;8(87779) 9-32-81 8-952-986-72-96;dond-soh10@mail.ru;3;1;1;;
101004241;10101001;204815;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Гиагинского Района ""Средняя Общеобразовательная Школа № 11""";Республика Адыгея (Адыгея), Гиагинский Район, С. Сергиевское, Ул. Выгонная, 46;Кихтева Светлана Михайловна;8(87779) 9-35-04 8-928-044-39-15;mou.scholl-11-73@mail.ru;3;1;1;;
101004185;10101001;254295;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Гиагинского Района ""Средняя Общеобразовательная Школа № 12""";Республика Адыгея (Адыгея), Гиагинский Район, Х. Тамбовский, Ул. Прямая, 30;Мокротоварова Оксана Викторовна;8(87779) 9-34-09 8(87779) 9-34-32 8-918-425-33-75;inna_tokareva_soch12@mail.ru;3;1;1;;
103001969;10101001;238485;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Муниципального Образования ""Кошехабльский Район""""Средняя Общеобразовательная Школа № 1""";Республика Адыгея (Адыгея), Кошехабльский Район, Аул Кошехабль, Ул. Гагарина, 53;Беджанов Юрий Борисович;8-918-228-26-16;kosh_shkola1@mail.ru;3;1;1;;
103001951;10101001;254297;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Муниципального Образования ""Кошехабльский Район""""Средняя Общеобразовательная Школа № 2""";Республика Адыгея (Адыгея), Кошехабльский Район, Аул Кошехабль, Ул. Джаримова А., 4;Пиштикова Эмма Хамзетовна;8-903-466-14-12;kosh_shkola2@mail.ru;3;1;1;;
103002578;10101001;197125;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Муниципального Образования ""Кошехабльский Район"" ""Средняя Общеобразовательная Школа № 3 Имени Первого Президента Республики Адыгея Джаримова Аслана Алиевича""";385421, Республика Адыгея, Р-Н Кошехабльский, Аул Егерухай, Ул Школьная, 28А;Хасанова Саида Юрьевна;8-918-226-35-15;kosh_shkola31@mail.ru;3;1;1;;
103002553;10101001;204819;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Муниципального Образования ""Кошехабльский Район"" Средняя Общеобразовательная Школа № 4""";Республика Адыгея (Адыгея), Кошехабльский Район, Аул Хачемзий, Ул. Ленина, 41;Сиюхов Султан Нурбиевич;8-952-982-39-37;kosh_shkola4@mail.ru;3;1;1;;
103002803;10101001;197537;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Муниципального Образования ""Кошехабльский Район"" ""Средняя Общеобразовательная Школа № 5 Имени Героя Советского Союза Алия Юсуфовича Кошева""";385431, Республика Адыгея, Р-Н Кошехабльский, Аул Блечепсин, Ул Кошева, Дом 4;Мекулова Марьят Хусейновна;8-961-852-90-38;kosh_shkola6@mail.ru;3;1;1;;
103002546;10101001;204820;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Муниципального Образования ""Кошехабльский Район"" ""Средняя Общеобразовательная Школа № 6""";Республика Адыгея (Адыгея), Кошехабльский Район, П. Дружба, Ул. Школьная, 1;Хабиева Зарема Хусеновна;8-918-920-18-80;kosh_shkola51@mail.ru;3;1;1;;
103002786;10101001;204821;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Муниципального Образования ""Кошехабльский Район"" ""Средняя Общеобразовательная Школа № 7""";Республика Адыгея (Адыгея), Кошехабльский Район, П. Майский, Ул. Филатова, 5;Сидюкова Вера Владимировна;8-918-425-23-90;kosh_shkola7@mail.ru;3;1;1;;
103002592;10101001;254296;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Муниципального Образования ""Кошехабльский Район"" ""Средняя Общеобразовательная Школа № 8""";Республика Адыгея (Адыгея), Кошехабльский Район, С. Натырбово, Ул. Красная, 45;Мамишев Эдуард Асланович;8-918-326-90-04;kosh_shkola8@mail.ru;3;1;1;;
103002585;10101001;204823;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Муниципального Образования ""Кошехабльский Район"" ""Средняя Общеобразовательная Школа № 9""";Республика Адыгея (Адыгея), Кошехабльский Район, С. Вольное, Ул. Ленина, 154;Мамишев Руслан Асланович;8-961-826-76-96;kosh_shkola9@mail.ru;3;1;1;;
103002610;10101001;197126;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Муниципального Образования ""Кошехабльский Район""Средняя Общеобразовательная Школа № 10""";385430, Республика Адыгея, Р-Н Кошехабльский, Х Игнатьевский, Ул Ленина, 92;Хупсарокова Зуриет Мухамедовна;8-918-423-21-07;kosh_shkola10@mail.ru;3;1;1;;
103002754;10101001;204818;Юг;Республика Адыгея;Муниципальное Бюджетное Общеобразовательное Учреждение Муниципального Образования «Кошехабльский Район» «Средняя Общеобразовательная Школа № 11»;Республика Адыгея (Адыгея), Кошехабльский Район, Аул Ходзь, Ул. Краснооктябрьская, 101;Афашагова Ирма Аскарбиевна;8-952-971-97-46;kosh_shkola11@mail.ru;3;1;1;;
103002779;10101001;197127;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Муниципального Образования ""Кошехабльский Район"" ""Основная Общеобразовательная Школа № 12""";385435, Республика Адыгея, Р-Н Кошехабльский, Х Казенно-Кужорский, Ул Ленина, 50;Симоненко Любовь Павловна;8-918-227-49-50;kosh_shkola12@mail.ru;3;1;1;;
103002560;10101001;182583;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение Муниципального Образования ""Кошехабльский Район""Основная Общеобразовательная Школа № 13""";385437, Республика Адыгея, Р-Н Кошехабльский, Х Кармолино-Гидроицкий, Ул Свободы Мира, 36;Василенко Светлана Евгеньевна;8-961-504-19-21;kosh_shkola13@mail.ru;3;1;1;;
102002127;10101001;238488;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение "" Гимназия № 1"" С. Красногвардейского Красногвардейского Района Республики Адыгея";Республика Адыгея (Адыгея), Красногвардейский Район, С. Красногвардейское, Ул. Чапаева, 87 А;Ляшенко Ирина Ивановна;89884834080;kmoug1@mail.ru;3;1;1;;
102003272;10101001;238489;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 2 Им. Ю.К.Шхачемукова"" А. Хатукай Красногвардейского Района Республики Адыгея";Республика Адыгея (Адыгея), Красногвардейский Район, Аул Хатукай, Ул. Школьная, 1;Хапаева Майя Шалиховна;89182164770;hatukay.school@mail.ru;3;1;1;;
102004075;10101001;204809;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 3"" Им. М.И. Кудаева А. Адамий Красногвардейского Района Республики Адыгея";Республика Адыгея (Адыгея), Красногвардейский Район, Аул  Адамий, Ул. 50 Лет Октября, 50;Цеева Людмила Аскарбиевна;89186740909;adamiysosh-3@mail.ru;3;1;1;;
102002663;10101001;204843;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 5"" С. Садовое Красногвардейского Района Республики Адыгея";Республика Адыгея (Адыгея), Красногвардейский Район, С. Садовое, Ул. Красная, 14;Косенко Оксана Александровна;89892637555;Mousoh5@yandex.ru;3;1;1;;
102004100;10101001;182584;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 6"" С. Еленовское Красногвардейского Района Республики Адыгея";385322, Республика Адыгея, Р-Н Красногвардейский, С Еленовское, Ул Юбилейная, 23;Атажахова Майя Кацовна;89615332946;mbousosh6_el@mail.ru;3;1;1;;
102004117;10101001;182586;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 7"" А. Джамбечий Красногвардейского Района Республики Адыгея";385329, Республика Адыгея, Р-Н Красногвардейский, Аул Джамбечий, Ул Центральная, 31;Тлишева Люся Нурбиевна;89184170968;Dzambichi@yandex.ru;3;1;1;;
102004036;10101001;204841;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 8"" С. Большесидоровское Красногвардейского Района Республики Адыгея";Республика Адыгея (Адыгея), Красногвардейский Район, С. Большесидоровское, Ул. Школьная, 2;Такахо Сафер Шумафович;89181981972;s.takakho@mail.ru;3;1;1;;
102002430;10101001;238486;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 9"" А. Уляп Красногвардейского Района Республики Адыгея";Республика Адыгея (Адыгея), Красногвардейский Район, Аул Уляп, Ул. Им. А. Мукова, 67;Хаджуов Азамат Джумальдинович;89184287877;Uljap9@mail.ru;3;1;1;;
102004156;10101001;152099;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Основная Общеобразовательная Школа № 10"" С. Штурбино Красногвардейского Района Республики Адыгея";385325, Республика Адыгея, Р-Н Красногвардейский, С Штурбино, Ул Красная, Дом 16;Мерчанова Луиза Валеровна;89531038112;shturbino10shkola@yandex.ru;3;1;1;;
102004082;10101001;197128;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 11"" С. Красногвардейское Красногвардейского Района Республики Адыгея";385301, Республика Адыгея, Р-Н Красногвардейский, С Красногвардейское, Ул Мира, Дом 341;Быканова Людмила Александровна;89183495434;Ksosh.11.ra@mail.ru;3;1;1;;
102002631;10101001;204807;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Основная Общеобразовательная Школа № 12"" Имени Н. А. Берзегова А. Бжедугхабль Красногвардейского Района Республики Адыгея";Республика Адыгея (Адыгея), Красногвардейский Район, Аул Бжедугхабль, Ул. Школьная, 1;Руданова Ольга Викторовна;89892692427;mbouosh12@yandex.ru;3;1;1;;
102004011;10101001;204808;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Основная Общеобразовательная Школа № 13"" С. Новосевастопольское Красногвардейского Района Республики Адыгея";Республика Адыгея (Адыгея), Красногвардейский Район, С. Новосевастопольское, Ул. Чучваги, 4;Тлишев Мурат Ахмедович;89627638080;novsevschool@mail.ru;3;1;1;;
102002744;10101001;197129;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Основная Общеобразовательная Школа № 14"" С.Преображенское Красногвардейского Района Республики Адыгея";385330, Республика Адыгея, Р-Н Красногвардейский, С Преображенское, Ул Школьная, 30;Тхитлянов Рустам Схатбиевич;89883663311;pr385330@yandex.ru;3;1;1;;
102004124;10101001;204842;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Средняя Общеобразовательная Школа № 15"" Им. Героя России Н.Н. Шевелева С. Еленовское Красногвардейского Района Республики Адыгея";Республика Адыгея (Адыгея), Красногвардейский Район, С. Еленовское, Ул. Молодежная, 1;Зоболева Евгения Демьяновна;89996375953;AdigeSOCh15@yandex.ru;3;1;1;;
102002825;10101001;204840;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Начальная Общеобразовательная Школа - Детский Сад № 18"" С. Верхненазаровское Красногвардейского Района Республики Адыгея";Республика Адыгея (Адыгея), Красногвардейский Район, С. Верхненазаровское, Ул. Почтовая, 53;Половнева Ольга Евгеньевна;89184573880;moynosh@mail.ru;3;1;1;;
104005109;10401001;238553;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение""Образовательный Центр № 1"" (Учебный Корпус № 1)";Республика Адыгея (Адыгея), Майкопский Район, П. Тульский, Ул. Первомайская, 232;Ярков Денис Петрович;8-962-865-07-02;scool1-tulsky@mail.ru;3;1;1;;
104005109;10401001;206658;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Образовательный Центр № 1 Майкопского Района"" (Учебный Корпус № 2)";Республика Адыгея (Адыгея), Майкопский Район, П. Тульский, Ул. Первомайская, 222, Лит.Б;Ярков Денис Птрович;8-962-865-07-02;scool1-tulsky@mail.ru;3;1;1;;
104008011;10401001;238493;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Образовательный Центр №2 Майкопского Района"" (Учебный Корпус №1)";Республика Адыгея (Адыгея), Майкопский Район, П. Краснооктябрьский, Ул. Кубанская, 74;Воронцова Ирина Юрьевна;8-928-471-12-85;school_2krasnook@mail.ru;3;1;1;;
104008011;332501001;238492;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Образовательный Центр №2 Майкопского Района"" (Учебный Корпус №2)";Республика Адыгея (Адыгея), Майкопский Район, П. Табачный, Ул. Шоссейная, 29;Воронцова Ирина Юрьевна;8-928-471-12-85;school_2krasnook@mail.ru;3;1;1;;
104008011;10401001;223882;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Образовательный Центр №2 Майкопского Района"" (Учебный Корпус №3)";Республика Адыгея (Адыгея), Майкопский Район, Ст-Ца Курджипская, Ул. Ленина, 145;Воронцова Ирина Юрьевна;8-928-471-12-85;school_2krasnook@mail.ru;3;1;1;;
104008011;10401001;197130;Юг;Республика Адыгея;"Муниципальное Бюджетное Образовательное Учреждение ""Образовательный Центр №2 Майкопского Района"" (Учебный Корпус №4)";385783, Республика Адыгея, Р-Н Майкопский, Ст-Ца Дагестанская, Ул Кооперативная, 12, А;Воронцова Ирина Юрьевна;8-928-471-12-85;school_2krasnook@mail.ru;3;1;1;;
104008460;10401001;204847;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Образовательный Центр № 3 Майкопского Района"" (Учебный Корпус № 1)";Республика Адыгея (Адыгея), Майкопский Район, Ст-Ца Абадзехская, Ул. Первомайская, 33;Зейтунян Роберт Антраникович;8-960-499-41-11;school3abz@yandex.ru;3;1;1;;
104008460;10401001;204849;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Образовательный Центр № 3 Майкопского Района"" (Учебный Корпус № 2)";Республика Адыгея (Адыгея), Майкопский Район, П. Первомайский, Ул. Школьная, 39;Зейтунян Роберт Антраникович;8-960-499-41-11;school3abz@yandex.ru;3;1;1;;
104008460;10401001;197131;Юг;Республика Адыгея;"Муниципальное Бюджетное Образовательное Учреждение ""Образовательный Центр №3 Майкопского Района""";385776, Республика Адыгея, Р-Н Майкопский, Ст-Ца Новосвободная, Ул Советская, 16;Зейтунян Роберт Антраникович;8-960-499-41-11;school3abz@yandex.ru;3;1;1;;
104008460;10401001;204810;Юг;Республика Адыгея;"Муниципальное Бюджетное Общеобразовательное Учреждение ""Образовательный Центр № 3 Майкопского Района"" (Учебный Корпус № 4)";Республика Адыгея (Адыгея), Майкопский Район, Ст-Ца Севастопольская, Ул. Советская, 29;Зейтунян Роберт Антраникович;8-960-499-41-11;school3abz@yandex.ru;3;1;1;;
